,signal,class,chunk_num,chunk_start,chunk_end,neighbor_0
0,0.566434,0,0,1,15,0.566434
1,1.216939,0,0,1,15,1.216939
2,0.731503,0,0,1,15,0.731503
3,-0.78665,0,0,1,15,-0.78665
4,0.377372,0,0,1,15,0.377372
5,-0.964261,0,0,1,15,-0.964261
6,-0.47453,0,0,1,15,-0.47453
7,0.995084,0,0,1,15,0.995084
8,1.011779,0,0,1,15,1.011779
9,1.329362,0,0,1,15,1.329362
10,0.588482,0,0,1,15,0.588482
11,-0.895923,0,0,1,15,-0.895923
12,0.76221,0,0,1,15,0.76221
13,0.12217,0,0,1,15,0.12217
14,0.288869,0,0,1,15,0.288869
15,2.221345,0,1,16,29,2.221345
16,-0.219657,0,1,16,29,-0.219657
17,0.409933,0,1,16,29,0.409933
18,-0.39906,0,1,16,29,-0.39906
19,0.527981,0,1,16,29,0.527981
20,0.783543,0,1,16,29,0.783543
21,0.465152,0,1,16,29,0.465152
22,1.045655,0,1,16,29,1.045655
23,-0.075856,0,1,16,29,-0.075856
24,-2.143632,0,1,16,29,-2.143632
25,0.070617,0,1,16,29,0.070617
26,-0.415662,0,1,16,29,-0.415662
27,-0.47758,0,1,16,29,-0.47758
28,0.514655,0,1,16,29,0.514655
29,-0.675439,0,2,30,149,-0.675439
30,-1.359201,0,2,30,149,-1.359201
31,-1.996324,0,2,30,149,-1.996324
32,-0.494921,0,2,30,149,-0.494921
33,-1.202838,0,2,30,149,-1.202838
34,-0.947881,0,2,30,149,-0.947881
35,-0.063795,0,2,30,149,-0.063795
36,-0.21379,0,2,30,149,-0.21379
37,-0.445787,0,2,30,149,-0.445787
38,1.487178,0,2,30,149,1.487178
39,0.748856,0,2,30,149,0.748856
40,1.033572,0,2,30,149,1.033572
41,-0.514548,0,2,30,149,-0.514548
42,0.543324,0,2,30,149,0.543324
43,-2.161617,0,2,30,149,-2.161617
44,-1.224845,0,2,30,149,-1.224845
45,-0.846005,0,2,30,149,-0.846005
46,0.718318,0,2,30,149,0.718318
47,2.080623,0,2,30,149,2.080623
48,0.423216,0,2,30,149,0.423216
49,-0.615567,0,2,30,149,-0.615567
50,-1.51703,0,2,30,149,-1.51703
51,0.835723,0,2,30,149,0.835723
52,0.464699,0,2,30,149,0.464699
53,-0.173219,0,2,30,149,-0.173219
54,0.881867,0,2,30,149,0.881867
55,-0.280766,0,2,30,149,-0.280766
56,1.063619,0,2,30,149,1.063619
57,0.100279,0,2,30,149,0.100279
58,-0.003258,0,2,30,149,-0.003258
59,-0.565964,0,2,30,149,-0.565964
60,-0.884985,0,2,30,149,-0.884985
61,-1.342252,0,2,30,149,-1.342252
62,-1.617611,0,2,30,149,-1.617611
63,-0.472182,0,2,30,149,-0.472182
64,-0.092055,0,2,30,149,-0.092055
65,-1.646221,0,2,30,149,-1.646221
66,-1.819942,0,2,30,149,-1.819942
67,0.12975,0,2,30,149,0.12975
68,0.430201,0,2,30,149,0.430201
69,1.429943,0,2,30,149,1.429943
70,0.467693,0,2,30,149,0.467693
71,2.41733,0,2,30,149,2.41733
72,1.50182,0,2,30,149,1.50182
73,0.3121,0,2,30,149,0.3121
74,0.053563,0,2,30,149,0.053563
75,-1.652519,0,2,30,149,-1.652519
76,0.371828,0,2,30,149,0.371828
77,-0.116233,0,2,30,149,-0.116233
78,0.678726,0,2,30,149,0.678726
79,-1.16641,0,2,30,149,-1.16641
80,-0.94475,0,2,30,149,-0.94475
81,-0.074724,0,2,30,149,-0.074724
82,-0.024864,0,2,30,149,-0.024864
83,-0.379407,0,2,30,149,-0.379407
