class1vectorx,class1vectory,class2vectorx,class2vectory,class3vectorx,class3vectory,class4vectorx,class4vectory,class,,
2.618211896,2.25827031,2.239604897,-2.350651358,-0.063574504,-2.177321275,-2.558863318,0.726603844,A,2.618211896,2.25827031
1.251667194,2.901451898,0.572927651,-1.323122432,0.065433412,-0.31461343,0.309690869,1.048045307,A,1.251667194,2.901451898
0.775670421,-0.638017531,0.424270119,-0.737237848,-0.464180599,0.932023097,-0.616399849,0.779336256,A,0.775670421,-0.638017531
2.906787584,2.257558136,1.11750383,1.335079559,-1.087384734,1.588843563,-1.367622512,-0.627767071,A,2.906787584,2.257558136
1.853265203,2.160245443,1.1810603,-1.327199037,0.572143775,0.485664607,-2.801280142,0.249146158,A,1.853265203,2.160245443
0.128176678,1.813176033,2.611647345,-0.103347094,-2.288515274,-1.957565734,1.267711495,0.860834492,A,0.128176678,1.813176033
-0.882676408,-1.507737545,0.577118057,-0.480749863,-1.624896036,-0.271929233,-2.171269997,0.543576754,A,-0.882676408,-1.507737545
1.905430987,2.373744032,0.396480957,-2.373409948,-1.799021474,-0.67930308,-1.660561306,1.908050658,A,1.905430987,2.373744032
0.359576613,1.980394889,3.014195868,-1.713237899,-1.836564539,-1.413870239,-1.698840026,2.257964437,A,0.359576613,1.980394889
1.473920174,2.969871055,2.306362413,-1.901488834,-2.46970906,0.212948946,0.511029712,-0.438442157,A,1.473920174,2.969871055
2.214284298,0.355389803,1.616921223,-0.845939777,-1.592901313,-0.702968997,-0.713289891,1.16795522,A,2.214284298,0.355389803
1.420936436,-0.873025038,0.604603551,-1.115744565,-1.628329355,-0.981650001,-2.7114922,-0.012475384,A,1.420936436,-0.873025038
0.797193457,1.043383241,2.479819639,-1.301797572,-1.815523576,-0.942296195,-3.636495574,0.845731263,A,0.797193457,1.043383241
1.416111569,1.601293949,0.877523226,-1.721812036,-2.135542302,-1.259126026,-1.762584426,1.046544045,A,1.416111569,1.601293949
0.340043239,1.728429578,0.637948362,-1.210293318,-3.968224015,-1.46237024,-0.343344033,2.220418546,A,0.340043239,1.728429578
-0.015103711,1.287723053,0.914134072,-1.490615827,-0.641846653,-0.522001309,-4.098986798,1.595292648,A,-0.015103711,1.287723053
2.035278626,0.982970033,0.861069716,-0.473642716,-1.858046911,-1.003469805,0.649876666,1.208036716,A,2.035278626,0.982970033
1.798202825,0.019052197,-0.209194166,-0.454792547,-2.077991119,-0.787939677,-0.584100193,0.659928918,A,1.798202825,0.019052197
1.797163804,0.318249811,1.036368746,-2.145791738,-1.302172776,-0.371613444,-0.967630813,1.840943288,A,1.797163804,0.318249811
1.430669232,2.07288478,1.005086192,-2.319311829,-0.215386921,-1.637702106,1.112871492,-0.823608794,A,1.430669232,2.07288478
-0.274555297,0.29652108,1.059955055,0.402583297,-1.674392544,-1.51283345,-1.050895509,0.548633917,A,-0.274555297,0.29652108
0.04739433,1.580145736,2.306513536,-1.186933378,0.199891899,0.046748691,-0.90964181,1.169322717,A,0.04739433,1.580145736
-0.047378561,0.227432969,0.854946925,-1.358821882,-1.632822816,-2.32746744,0.190271292,0.723063146,A,-0.047378561,0.227432969
0.583582697,0.164779317,0.213693568,0.649804703,0.003665387,-2.248429857,0.335899655,2.413189477,A,0.583582697,0.164779317
0.907525079,0.167308789,1.962776058,-2.191389421,0.108900669,-0.452437321,-1.770474507,1.000537495,A,0.907525079,0.167308789
-1.748784636,-1.044169264,2.130812424,-0.453731714,-0.444454209,-0.213682079,-1.12987538,0.492579044,A,-1.748784636,-1.044169264
0.616636771,2.262647964,0.703674558,-1.491200915,-1.485299524,-1.320602327,-0.67799671,2.047044301,A,0.616636771,2.262647964
0.259958534,1.994687793,0.004525506,-0.573440217,-1.506297021,0.136948411,0.430865189,2.29094847,A,0.259958534,1.994687793
2.267517303,3.06857038,0.497431336,-1.470706993,-1.489485188,-0.696432671,-0.88563359,0.810499131,A,2.267517303,3.06857038
2.526516262,0.715592802,-0.067278766,-1.422587041,-2.988363858,-1.688619917,-0.137921849,2.357098428,A,2.526516262,0.715592802
0.852867981,3.42184913,1.559387572,-0.61522253,0.112787984,-0.607831091,0.224322011,0.647426369,A,0.852867981,3.42184913
1.175317585,-1.098623158,1.496719624,0.215387791,-1.185373671,-0.439256945,-0.970003497,-0.733802045,A,1.175317585,-1.098623158
